State,Year_Num,LFPR,WPR,UR,Next_LFPR_Change,Target_Improved,LFPR_YoY_Change,NonAgriculture_Pct,SecondaryPlus_Pct,VocationalTraining_Pct,PMMY_Growth,LFPR_Lag1,LFPR_Lag2
Haryana,2021,17.3,14.933333333333332,14.85,1.0,0,0.5833333333333357,60.946666666666665,10.447953216374268,10.5,6.0322799352542145,16.716666666666665,14.858333333333334
Haryana,2022,18.3,16.724999999999998,9.458333333333334,2.8583333333333343,0,1.0,59.12666666666667,10.973214285714286,14.7,15.828587678462336,17.3,16.716666666666665
Himachal Pradesh,2017,37.708333333333336,34.36666666666667,11.708333333333334,13.155303030303031,1,,34.17666666666667,9.987134502923976,4.7,21.232553388327524,,
Himachal Pradesh,2018,50.86363636363637,45.93636363636364,12.681818181818182,2.094696969696969,0,13.155303030303031,36.29666666666667,9.984795321637428,6.2,24.39139904218508,37.708333333333336,
Himachal Pradesh,2019,52.958333333333336,49.666666666666664,7.541666666666667,-3.1499999999999986,0,2.094696969696969,39.8,10.296783625730994,8.4,3.9707288676836594,50.86363636363637,37.708333333333336
Himachal Pradesh,2020,49.80833333333334,47.14166666666667,6.616666666666667,2.7166666666666615,0,-3.1499999999999986,0.0,10.336257309941521,9.7,-18.494783558423112,52.958333333333336,50.86363636363637
Himachal Pradesh,2021,52.525,48.166666666666664,10.658333333333333,5.766666666666666,1,2.7166666666666615,37.99666666666666,10.447953216374268,10.5,6.0322799352542145,49.80833333333334,52.958333333333336
Himachal Pradesh,2022,58.291666666666664,50.75833333333333,16.3,-0.7916666666666643,0,5.766666666666666,41.593333333333334,10.973214285714286,14.7,15.828587678462336,52.525,49.80833333333334
Jammu and Kashmir,2017,26.400000000000002,22.541666666666668,15.525,5.336363636363636,1,,38.416666666666664,9.987134502923976,4.7,21.232553388327524,,
Jammu and Kashmir,2018,31.736363636363638,26.736363636363638,19.490909090909092,1.0219696969696948,0,5.336363636363636,40.42,9.984795321637428,6.2,24.39139904218508,26.400000000000002,
Jammu and Kashmir,2019,32.75833333333333,26.308333333333334,20.95,2.3416666666666686,0,1.0219696969696948,46.37,10.296783625730994,8.4,3.9707288676836594,31.736363636363638,26.400000000000002
Jammu and Kashmir,2020,35.1,29.933333333333334,17.349999999999998,2.866666666666667,0,2.3416666666666686,0.0,10.336257309941521,9.7,-18.494783558423112,32.75833333333333,31.736363636363638
Jammu and Kashmir,2021,37.96666666666667,32.225,16.608333333333334,2.366666666666667,0,2.866666666666667,34.269999999999996,10.447953216374268,10.5,6.0322799352542145,35.1,32.75833333333333
Jammu and Kashmir,2022,40.333333333333336,35.13333333333333,15.858333333333334,2.5916666666666686,0,2.366666666666667,34.88666666666666,10.973214285714286,14.7,15.828587678462336,37.96666666666667,35.1
Jharkhand,2017,13.450000000000001,12.158333333333333,10.091666666666667,4.622727272727273,0,,51.42666666666667,9.987134502923976,4.7,21.232553388327524,,
Jharkhand,2018,18.072727272727274,17.363636363636363,6.109090909090909,9.41060606060606,1,4.622727272727273,48.78000000000001,9.984795321637428,6.2,24.39139904218508,13.450000000000001,
