Country,State,Year,Type Of Areas,Age Group,Gender,"Labour Force Participation Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1","Worker Population Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"," Unemployment Rate According To Usual Status (Ps+Ss) (UOM:%(Percentage)), Scaling Factor:1"
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Persons,35.4,32.3,8.8
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Male,79.2,76.3,3.7
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Female,33.5,33.1,1
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Persons,56,54.4,2.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Male,76.8,74.2,3.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Female,32,31.7,1
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Persons,54.3,52.8,2.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Male,48.1,46.5,3.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Female,21.1,20.9,0.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Persons,34.9,34,2.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Male,42.1,33.5,20.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Female,10.7,7.3,31.1
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Persons,27.6,21.5,22.2
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Male,71.9,66.6,7.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Female,18,16.3,9.7
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Persons,46.3,42.7,7.7
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Male,67.8,63.1,6.8
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Female,16.7,15.1,9.2
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Persons,43.4,40.3,7.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Male,48.2,44.8,6.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Female,12,10.9,9.1
India,Bihar,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Persons,30.9,28.7,7.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Male,54.1,47.9,11.4
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Female,14.8,14.2,4
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Persons,34.6,31.2,9.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Male,78.5,75.3,4
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Female,32,31.5,1.5
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Persons,55,53.2,3.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Male,75.8,73.1,3.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Female,30.5,30.1,1.4
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Persons,53.2,51.6,3
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Male,48.1,46.3,3.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Female,20.3,20.1,1.4
India,Bihar,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Persons,34.5,33.5,3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Male,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Female,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Persons,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Male,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Female,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15-59 years,Persons,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Male,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Female,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,15 years and above,Persons,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Male,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Female,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural,All Ages,Persons,,,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Male,65.3,60.2,7.8
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Female,34.1,28.9,15.4
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15-29 years,Persons,50,44.9,10.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Male,86.2,82.7,4.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Female,36.4,30.7,15.7
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15-59 years,Persons,62.4,57.8,7.4
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Male,76.9,73.9,3.9
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Female,31,26.2,15.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,15 years and above,Persons,54.7,50.9,7.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Male,60.1,57.7,3.9
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Female,25,21.2,15.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Urban,All Ages,Persons,43.5,40.4,7.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Male,65.3,60.2,7.8
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Female,34.1,28.9,15.4
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-29 years,Persons,50,44.9,10.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Male,86.2,82.7,4.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Female,36.4,30.7,15.7
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15-59 years,Persons,62.4,57.8,7.4
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Male,76.9,73.9,3.9
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Female,31,26.2,15.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,15 years and above,Persons,54.7,50.9,7.1
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Male,60.1,57.7,3.9
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Female,25,21.2,15.3
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",Rural + Urban,All Ages,Persons,43.5,40.4,7.1
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Male,74.5,71,4.6
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Female,55.1,53.6,2.8
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2023",Rural,15-29 years,Persons,65.2,62.7,3.9
