Country,Year,Gender,Type Of Residence,Type Of Technical Training,"Estimated Persons (UOM:Number), Scaling Factor:1","Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Sample Persons (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2022",Male,Rural,Vocational/Technical Training Received_Other than Formal_Self-Learning,,5.0,1839
India,"PLFS Year (Jul - Jun), 2022",Female,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,2.6,625
India,"PLFS Year (Jul - Jun), 2022",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Self-Learning,,3.9,1909
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,5.3,3641
India,"PLFS Year (Jul - Jun), 2022",Female,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,1.9,687
India,"PLFS Year (Jul - Jun), 2022",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,9.3,5639
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,5.9,6956
India,"PLFS Year (Jul - Jun), 2022",Male,Rural,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,8.5,2954
India,"PLFS Year (Jul - Jun), 2022",Female,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,3.1,630
India,"PLFS Year (Jul - Jun), 2022",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,2.2,1317
India,"PLFS Year (Jul - Jun), 2022",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,7.5,3315
India,"PLFS Year (Jul - Jun), 2022",Male,Urban,Vocational/Technical Training Received_Other than Formal_Learning on the Job,,11.4,2685
India,"PLFS Year (Jul - Jun), 2022",Female,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,,1.5,940
India,"PLFS Year (Jul - Jun), 2022",Female,Rural,Vocational/Technical Training Received_Other than Formal_Others,,1.4,567
India,"PLFS Year (Jul - Jun), 2022",Persons,Urban,Vocational/Technical Training Received_Other than Formal_Others,,1.9,933
India,"PLFS Year (Jul - Jun), 2022",Female,Urban,Vocational/Technical Training Received_Other than Formal_Others,,1.7,373
India,"PLFS Year (Jul - Jun), 2022",Male,Urban,Vocational/Technical Training Received_Other than Formal_Others,,2.1,560
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural,Vocational/Technical Training Received_Other than Formal_Others,,1.5,1293
India,"PLFS Year (Jul - Jun), 2022",Persons,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,,1.6,2226
India,"PLFS Year (Jul - Jun), 2022",Male,Rural,Vocational/Technical Training Received_Other than Formal_Others,,1.7,726
India,"PLFS Year (Jul - Jun), 2022",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_Others,,1.8,1286
India,"PLFS Year (Jul - Jun), 2022",Male,Rural+Urban,Vocational/Technical Training Received_Other than Formal_All,,22.5,12829
