Country,State,Year,Age Group,Type Of Area,Gender,"Unemployment Rate (Ur) (UOM:%(Percentage)), Scaling Factor:1"
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Female,13.0
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Person,12.9
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Male,21.1
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Female,36.0
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Person,25.2
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Male,13.7
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Female,14.7
India,Assam,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Person,14.1
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Male,3.9
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Female,3.8
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Person,3.9
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Male,6.2
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Female,12.4
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Person,7.9
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Male,4.2
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Female,4.4
India,Assam,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Person,4.3
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Male,3.6
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Female,3.5
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Person,3.5
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Male,5.7
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Female,11.8
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Person,7.4
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Male,3.8
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Female,4.1
India,Assam,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Person,3.9
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Male,3.6
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Female,3.5
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Person,3.5
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Male,5.7
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Female,11.8
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Person,7.4
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Male,3.8
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Female,4.1
India,Assam,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Person,3.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Male,10.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Female,2.1
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Person,8.8
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Male,20.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Female,31.1
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Person,22.2
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Male,11.4
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Female,4.0
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-29,Rural+Urban,Person,9.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Male,3.7
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Female,1.0
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Rural,Person,2.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Male,7.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Female,9.7
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Urban,Person,7.7
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Male,4.0
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Female,1.5
India,Bihar,"PLFS Year (Jul - Jun), 2023",15-59,Rural+Urban,Person,3.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Male,3.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Female,1.0
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural,Person,2.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Male,6.8
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Female,9.2
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Urban,Person,7.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Male,3.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Female,1.4
India,Bihar,"PLFS Year (Jul - Jun), 2023",15 years and above,Rural+Urban,Person,3.0
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Male,3.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Female,0.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Rural,Person,2.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Male,6.9
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Female,9.1
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Urban,Person,7.3
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Male,3.6
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Female,1.4
India,Bihar,"PLFS Year (Jul - Jun), 2023",all ages,Rural+Urban,Person,3.0
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Male,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Female,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Rural,Person,
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Male,7.8
India,Chandigarh,"PLFS Year (Jul - Jun), 2023",15-29,Urban,Female,15.4
