Country,State,Year,Type Of Areas,Gender,"Rate Of Unemployment  (UOM:Ratio), Scaling Factor:1"
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",urban,Female,16.08
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",urban,Person,10.78
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,13.9
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,31.15
India,Uttarakhand,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,12.13
India,West Bengal,"PLFS Year (Jul - Jun), 2022",rural,Male,11.88
India,West Bengal,"PLFS Year (Jul - Jun), 2022",rural,Female,16.78
India,West Bengal,"PLFS Year (Jul - Jun), 2022",rural,Person,10.03
India,West Bengal,"PLFS Year (Jul - Jun), 2022",urban,Male,10.27
India,West Bengal,"PLFS Year (Jul - Jun), 2022",urban,Female,15.75
India,West Bengal,"PLFS Year (Jul - Jun), 2022",urban,Person,7.91
India,West Bengal,"PLFS Year (Jul - Jun), 2022",rural + urban,Male,8.41
India,West Bengal,"PLFS Year (Jul - Jun), 2022",rural + urban,Female,11.78
India,West Bengal,"PLFS Year (Jul - Jun), 2022",rural + urban,Person,6.97
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",rural,Male,21.59
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",rural,Female,23.29
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",rural,Person,16.97
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",urban,Male,28.72
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",urban,Female,29.86
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",urban,Person,29.95
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,18.32
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,21.43
India,Andaman and Nicobar Islands,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,19.0
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Male,10.98
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Female,15.61
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Person,10.28
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Male,7.04
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Female,15.53
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Person,7.95
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,7.97
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,11.87
India,Andhra Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,7.56
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Male,23.76
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Female,17.92
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Person,19.14
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Male,32.61
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Female,28.95
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Person,32.98
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,19.85
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,16.17
India,Arunachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,16.66
India,Assam,"PLFS Year (Jul - Jun), 2021",rural,Male,11.84
India,Assam,"PLFS Year (Jul - Jun), 2021",rural,Female,22.59
India,Assam,"PLFS Year (Jul - Jun), 2021",rural,Person,11.91
India,Assam,"PLFS Year (Jul - Jun), 2021",urban,Male,7.18
India,Assam,"PLFS Year (Jul - Jun), 2021",urban,Female,12.71
India,Assam,"PLFS Year (Jul - Jun), 2021",urban,Person,8.81
India,Assam,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,9.84
India,Assam,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,17.54
India,Assam,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,9.71
India,Bihar,"PLFS Year (Jul - Jun), 2021",rural,Male,9.75
India,Bihar,"PLFS Year (Jul - Jun), 2021",rural,Female,34.75
India,Bihar,"PLFS Year (Jul - Jun), 2021",rural,Person,9.27
India,Bihar,"PLFS Year (Jul - Jun), 2021",urban,Male,11.07
India,Bihar,"PLFS Year (Jul - Jun), 2021",urban,Female,28.02
India,Bihar,"PLFS Year (Jul - Jun), 2021",urban,Person,11.49
India,Bihar,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,8.59
India,Bihar,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,26.66
India,Bihar,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,8.13
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",rural,Male,47.35
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",rural,Female,165.92
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",rural,Person,57.97
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",urban,Male,12.37
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",urban,Female,37.84
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",urban,Person,1.03
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,12.01
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,37.91
India,Chandigarh,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,2.72
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",rural,Male,15.75
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",rural,Female,17.0
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",rural,Person,13.06
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",urban,Male,16.43
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",urban,Female,42.53
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",urban,Person,21.02
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,11.49
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,17.49
India,Chhattisgarh,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,10.71
India,Delhi,"PLFS Year (Jul - Jun), 2021",rural,Male,113.36
India,Delhi,"PLFS Year (Jul - Jun), 2021",rural,Female,0.0
India,Delhi,"PLFS Year (Jul - Jun), 2021",rural,Person,107.61
India,Delhi,"PLFS Year (Jul - Jun), 2021",urban,Male,24.19
India,Delhi,"PLFS Year (Jul - Jun), 2021",urban,Female,11.02
India,Delhi,"PLFS Year (Jul - Jun), 2021",urban,Person,19.67
India,Delhi,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,23.79
India,Delhi,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,11.17
India,Delhi,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,19.42
India,Goa,"PLFS Year (Jul - Jun), 2021",rural,Male,60.36
India,Goa,"PLFS Year (Jul - Jun), 2021",rural,Female,39.2
India,Goa,"PLFS Year (Jul - Jun), 2021",rural,Person,51.0
India,Goa,"PLFS Year (Jul - Jun), 2021",urban,Male,7.6
India,Goa,"PLFS Year (Jul - Jun), 2021",urban,Female,27.25
India,Goa,"PLFS Year (Jul - Jun), 2021",urban,Person,15.09
India,Goa,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,26.98
India,Goa,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,22.63
India,Goa,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,23.36
India,Gujarat,"PLFS Year (Jul - Jun), 2021",rural,Male,20.54
India,Gujarat,"PLFS Year (Jul - Jun), 2021",rural,Female,41.08
India,Gujarat,"PLFS Year (Jul - Jun), 2021",rural,Person,19.93
India,Gujarat,"PLFS Year (Jul - Jun), 2021",urban,Male,22.02
India,Gujarat,"PLFS Year (Jul - Jun), 2021",urban,Female,19.38
India,Gujarat,"PLFS Year (Jul - Jun), 2021",urban,Person,17.67
India,Gujarat,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,15.07
India,Gujarat,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,20.34
India,Gujarat,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,13.32
India,Haryana,"PLFS Year (Jul - Jun), 2021",rural,Male,11.82
India,Haryana,"PLFS Year (Jul - Jun), 2021",rural,Female,25.12
India,Haryana,"PLFS Year (Jul - Jun), 2021",rural,Person,9.85
India,Haryana,"PLFS Year (Jul - Jun), 2021",urban,Male,17.06
India,Haryana,"PLFS Year (Jul - Jun), 2021",urban,Female,24.15
India,Haryana,"PLFS Year (Jul - Jun), 2021",urban,Person,16.36
India,Haryana,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,9.62
India,Haryana,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,18.94
India,Haryana,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,8.35
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Male,9.88
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Female,17.94
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural,Person,7.45
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Male,28.74
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Female,20.12
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",urban,Person,21.69
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,9.42
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,15.1
India,Himachal Pradesh,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,7.04
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",rural,Male,12.64
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",rural,Female,18.82
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",rural,Person,9.71
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",urban,Male,18.69
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",urban,Female,19.71
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",urban,Person,15.79
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,10.25
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,12.77
India,Jammu and Kashmir,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,7.65
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",rural,Male,13.11
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",rural,Female,39.52
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",rural,Person,13.01
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",urban,Male,22.81
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",urban,Female,30.12
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",urban,Person,22.96
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,11.32
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",rural + urban,Female,24.62
India,Jharkhand,"PLFS Year (Jul - Jun), 2021",rural + urban,Person,11.1
India,Karnataka,"PLFS Year (Jul - Jun), 2021",rural,Male,15.43
India,Karnataka,"PLFS Year (Jul - Jun), 2021",rural,Female,27.27
India,Karnataka,"PLFS Year (Jul - Jun), 2021",rural,Person,14.9
India,Karnataka,"PLFS Year (Jul - Jun), 2021",urban,Male,10.45
India,Karnataka,"PLFS Year (Jul - Jun), 2021",urban,Female,17.14
India,Karnataka,"PLFS Year (Jul - Jun), 2021",urban,Person,11.98
India,Karnataka,"PLFS Year (Jul - Jun), 2021",rural + urban,Male,10.06
