Country,Year,Gender,Technical Education Level (Code),Type Of Areas,"Percentage Distribution (UOM:%(Percentage)), Scaling Factor:1","Estimated Persons (15+) (UOM:Number), Scaling Factor:100","Sample Persons (15+) (UOM:Number), Scaling Factor:1"
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.1,,86
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural,0.5,,814
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,1.8,,1076
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,0.3,,194
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Urban,1.1,,1270
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,1.1,,1804
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,0.1,,280
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Engineering/Technology -08,Rural+Urban,0.6,,2084
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,,66
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,,116
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural,0.1,,182
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.2,,123
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.3,,178
India,"PLFS Year (Jul - Jun), 2022",Persons,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Urban,0.2,,301
India,"PLFS Year (Jul - Jun), 2022",Male,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.1,,189
India,"PLFS Year (Jul - Jun), 2022",Female,Diploma Or Certificate (Below Graduate Level) in Medicine -09,Rural+Urban,0.2,,294
